,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Mataura,85,NZ,1589746747,91,-46.19,168.86,44.83,2.48
5,El Alto,0,PE,1589746753,70,-4.27,-81.21,73.74,17.72
6,Lebu,1,CL,1589746527,77,-37.62,-73.65,60.73,4.5
7,Soyo,43,AO,1589746756,84,-6.13,12.37,78.94,7.11
8,Saint-Philippe,90,RE,1589746757,73,-21.36,55.77,71.6,9.17
11,Rikitea,69,PF,1589746761,86,-23.12,-134.97,77.25,12.15
13,Katherine,96,AU,1589746697,59,-14.47,132.27,66.2,4.7
15,Bluff,43,NZ,1589746509,74,-46.6,168.33,51.19,11.07
17,Poum,100,NC,1589746768,76,-20.23,164.02,73.71,10.6
18,Ushuaia,100,AR,1589746741,70,-54.8,-68.3,42.8,3.04
20,Atuona,5,PF,1589746772,73,-9.8,-139.03,80.49,16.4
23,Cidreira,0,BR,1589746776,63,-30.18,-50.21,69.94,6.8
32,Hithadhoo,100,MV,1589746787,78,-0.6,73.08,83.89,20.83
34,São João da Barra,0,BR,1589746790,73,-21.64,-41.05,77.0,9.17
35,Busselton,0,AU,1589746791,69,-33.65,115.33,48.99,10.31
39,Punta Arenas,75,CL,1589746682,86,-53.15,-70.92,41.0,13.87
40,Gamba,100,GA,1589746797,92,-2.65,10.0,78.49,4.52
42,Maputo,0,MZ,1589746800,68,-25.97,32.59,68.0,9.17
44,Cape Town,100,ZA,1589746639,93,-33.93,18.42,61.0,5.82
45,Menongue,100,AO,1589746804,55,-14.66,17.69,59.11,5.01
46,Faanui,1,PF,1589746805,74,-16.48,-151.75,81.86,8.9
49,New Norfolk,46,AU,1589746809,91,-42.78,147.06,45.0,2.44
55,Maracaju,0,BR,1589746817,58,-21.61,-55.17,76.46,4.63
63,Macaúbas,100,BR,1589746827,80,-13.02,-42.7,75.74,2.28
66,Castro,0,BR,1589746831,57,-24.79,-50.01,64.89,3.74
68,Juwana,99,ID,1589746833,91,-6.71,111.15,77.54,6.04
69,Puerto Ayora,40,EC,1589746746,62,-0.74,-90.35,84.2,19.46
77,La Serena,20,CL,1589746845,67,-29.91,-71.25,62.6,9.17
78,Tual,38,ID,1589746846,81,-5.67,132.75,83.26,23.69
79,Quatre Cocos,40,MU,1589746847,78,-20.21,57.76,71.6,9.17
80,Esperance,75,AU,1589746848,93,-33.87,121.9,57.2,8.05
81,Karaton,40,ID,1589746850,88,-6.34,106.1,78.8,5.82
85,Kaitangata,68,NZ,1589746854,68,-46.28,169.85,51.01,7.18
86,Vaini,75,TO,1589746759,83,-21.2,-175.2,73.4,3.36
87,Hermanus,100,ZA,1589746857,96,-34.42,19.23,53.01,1.01
89,Vila Velha,75,BR,1589746859,88,-20.33,-40.29,75.0,11.41
90,Ancud,90,CL,1589746861,87,-41.87,-73.82,55.99,12.75
91,Chui,0,UY,1589746815,66,-33.7,-53.46,71.06,6.24
94,Yulara,0,AU,1589746866,48,-25.24,130.99,44.6,8.05
96,Bredasdorp,100,ZA,1589746868,87,-34.53,20.04,53.6,3.6
97,Hobart,60,AU,1589746727,93,-42.88,147.33,46.4,9.17
98,Olinda,40,BR,1589746871,83,-8.01,-34.86,80.6,6.93
102,Souillac,40,MU,1589746760,78,-20.52,57.52,71.6,9.17
104,Port Elizabeth,100,ZA,1589746843,77,-33.92,25.57,59.0,3.36
105,Sambava,14,MG,1589746879,86,-14.27,50.17,75.43,12.82
111,Aitape,7,PG,1589746887,85,-3.14,142.35,78.8,5.93
114,Saldanha,100,ZA,1589746891,82,-33.01,17.94,59.0,6.93
115,Bayeux,75,BR,1589746892,83,-7.12,-34.93,80.6,11.41
116,Tautira,40,PF,1589746814,66,-17.73,-149.15,86.0,8.05
121,Labuhan,100,ID,1589746900,87,-6.88,112.21,79.0,8.39
126,Omboué,100,GA,1589746906,90,-1.57,9.26,79.45,6.69
137,Mar del Plata,0,AR,1589746759,52,-38.0,-57.56,64.4,8.05
150,Avarua,75,CK,1589746732,69,-21.21,-159.78,80.6,12.75
160,Nhamundá,29,BR,1589746948,67,-2.19,-56.71,87.84,2.95
169,Kampene,100,CD,1589746958,95,-3.6,26.67,72.66,2.64
170,Arraial do Cabo,20,BR,1589746960,73,-22.97,-42.03,77.0,5.82
172,Itaberaba,41,BR,1589746962,60,-12.53,-40.31,80.85,2.37
176,Lorengau,1,PG,1589746968,81,-2.02,147.27,82.74,10.74
180,Ngunguru,0,NZ,1589746973,90,-35.62,174.5,55.99,8.01
183,Kerema,62,PG,1589746976,90,-7.96,145.78,78.58,2.8
184,Tambopata,20,PE,1589746978,54,-12.73,-69.18,84.2,3.36
188,Alofi,99,NU,1589746983,78,-19.06,-169.92,77.0,5.82
191,Kawalu,100,ID,1589746986,92,-7.38,108.21,74.21,0.78
192,Kruisfontein,100,ZA,1589746988,64,-34.0,24.73,54.27,5.79
197,Codrington,95,AU,1589746994,80,-38.27,141.97,45.93,7.99
198,Port Alfred,100,ZA,1589746995,62,-33.59,26.89,60.01,3.0
202,Ende,58,ID,1589747000,80,-8.84,121.66,77.52,1.32
207,Rocha,0,UY,1589747006,68,-34.48,-54.33,65.14,9.19
211,Nhulunbuy,40,AU,1589747011,78,-12.23,136.77,78.8,11.41
