,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Dudinka,97,RU,1593447245,59,69.41,86.18,62.6,11.18
1,Rehoboth,0,NA,1593447451,24,-23.32,17.08,63.34,7.07
2,Akdepe,100,TM,1593447452,23,42.06,59.38,84.2,2.24
3,Mercedes,93,AR,1593447453,55,-34.65,-59.43,57.99,5.01
4,Puerto Ayora,75,EC,1593447455,69,-0.74,-90.35,75.2,12.75
5,Butaritari,97,KI,1593447308,66,3.07,172.79,82.74,7.99
6,Provideniya,28,RU,1593447457,74,64.38,-173.3,39.29,6.53
7,Qaanaaq,0,GL,1593447459,61,77.48,-69.36,44.33,5.55
8,Atar,0,MR,1593447346,6,20.52,-13.05,112.06,18.72
9,Castro,100,BR,1593447461,78,-24.79,-50.01,59.61,9.84
10,Codrington,100,AU,1593447462,88,-38.27,141.97,42.64,10.02
11,Jequitinhonha,61,BR,1593447464,56,-16.43,-41.0,78.8,6.6
12,Punta Arenas,75,CL,1593447194,92,-53.15,-70.92,30.0,3.67
13,Necoclí,75,CO,1593447467,79,8.42,-76.79,84.2,4.7
14,Mumford,97,GH,1593447468,84,5.26,-0.76,77.63,15.66
15,Barrow,1,US,1593447470,80,71.29,-156.79,39.2,16.11
16,East London,40,ZA,1593447471,48,-33.02,27.91,68.09,18.72
17,Hithadhoo,61,MV,1593447473,67,-0.6,73.08,85.68,5.03
18,Oranjestad,29,AW,1593447197,84,12.52,-70.03,80.55,19.48
19,Saint-Philippe,40,RE,1593447476,78,-21.36,55.77,71.6,4.7
20,Hamilton,40,US,1593447440,74,39.18,-84.53,84.0,4.7
21,Wanning,91,CN,1593447478,87,18.8,110.4,81.21,7.18
22,Saint Paul Harbor,1,US,1593447479,81,57.79,-152.41,50.0,2.39
23,Aksu,0,CN,1593447409,23,41.12,80.26,72.39,6.64
24,Tuktoyaktuk,40,CA,1593447482,75,69.45,-133.04,46.4,5.82
25,Mataura,96,NZ,1593447483,83,-46.19,168.86,39.0,3.0
26,Maracaju,100,BR,1593447485,71,-21.61,-55.17,71.37,11.16
27,Atherton,100,GB,1593447486,78,53.52,-2.49,57.99,11.01
28,Pevek,46,RU,1593447487,96,69.7,170.31,32.04,5.21
29,Rikitea,94,PF,1593447489,58,-23.12,-134.97,68.65,15.43
30,Ushuaia,75,AR,1593447453,74,-54.8,-68.3,33.8,11.41
31,Alvorada,23,BR,1593447491,27,-12.48,-49.12,90.7,10.27
32,Alice Springs,0,AU,1593447492,39,-23.7,133.88,44.6,3.58
33,Iqaluit,75,CA,1593447302,86,63.75,-68.51,39.0,10.29
34,Sedona,40,US,1593447303,24,34.87,-111.76,71.6,18.34
35,Hunchun,100,CN,1593447496,94,42.87,130.36,61.48,5.12
36,Vila Franca do Campo,40,PT,1593447498,78,37.72,-25.43,73.4,12.75
37,Kapaa,75,US,1593447499,94,22.08,-159.32,71.6,5.82
38,Assiut,0,EG,1593447500,26,27.18,31.18,93.2,13.87
39,Katsuura,100,JP,1593447502,90,35.13,140.3,75.0,8.75
40,Itarema,2,BR,1593447503,65,-2.92,-39.92,85.26,13.31
41,Albany,18,US,1593447504,72,42.6,-73.97,79.0,7.36
42,Arraial do Cabo,75,BR,1593447505,60,-22.97,-42.03,73.4,12.75
43,Mwinilunga,2,ZM,1593447507,32,-11.74,24.43,71.08,4.92
44,Kangaatsiaq,91,GL,1593447508,89,68.31,-53.46,40.17,6.02
45,Hobart,0,AU,1593447486,87,-42.88,147.33,44.01,8.05
46,Port Alfred,45,ZA,1593447511,78,-33.59,26.89,64.0,7.0
47,Norman Wells,40,CA,1593447512,55,65.28,-126.83,64.4,3.36
48,Yellowknife,20,CA,1593447309,51,62.46,-114.35,68.0,8.05
49,Bichena,74,ET,1593447514,67,10.45,38.2,63.28,2.62
50,Sibu,40,MY,1593447515,94,2.3,111.82,75.2,2.24
51,Hong Kong,100,HK,1593447405,79,22.29,114.16,82.99,1.01
52,Yulara,0,AU,1593447518,38,-25.24,130.99,42.8,4.7
53,Tasiilaq,75,GL,1593447519,87,65.61,-37.64,44.6,6.93
54,Saldanha,84,ZA,1593447521,77,-33.01,17.94,62.6,3.36
55,Faanui,100,PF,1593447522,74,-16.48,-151.75,77.97,22.84
56,Jiblah,89,YE,1593447523,65,13.92,44.15,70.2,2.64
57,Torbay,90,CA,1593447524,82,47.67,-52.73,68.0,9.17
58,Dikson,27,RU,1593447526,70,73.51,80.55,48.79,15.75
59,Fortuna,1,US,1593447527,82,40.6,-124.16,60.01,5.82
60,Guarapari,90,BR,1593447358,78,-20.67,-40.5,71.6,9.17
61,Tumkūr,40,IN,1593447530,94,13.34,77.1,77.0,8.97
62,Te Anau,84,NZ,1593447531,84,-45.42,167.72,39.81,2.26
63,Vicuña,100,CL,1593447242,66,-30.03,-70.71,55.0,7.18
64,Urdoma,100,RU,1593447534,60,61.75,48.54,48.43,5.93
65,Lavrentiya,22,RU,1593447535,83,65.58,-171.0,40.35,4.05
66,Cidreira,100,BR,1593447415,71,-30.18,-50.21,61.48,15.32
67,Pacocha,54,PE,1593447538,64,-17.58,-71.33,66.11,6.49
68,Puerto Nariño,75,CO,1593447539,88,-3.77,-70.38,80.6,3.36
69,Atuona,13,PF,1593447308,79,-9.8,-139.03,79.18,15.14
70,Kununurra,0,AU,1593447542,26,-15.77,128.73,59.0,3.36
71,Mossamedes,40,AO,1593447543,78,-15.2,12.15,73.4,21.92
72,Vaini,90,TO,1593447544,94,-21.2,-175.2,77.0,6.93
73,Pecos,1,US,1593447546,26,31.42,-103.49,91.4,16.11
74,Bredasdorp,97,ZA,1593447547,82,-34.53,20.04,59.0,6.93
75,Cape Town,75,ZA,1593447548,93,-33.93,18.42,61.0,4.7
76,Bluff,99,NZ,1593447549,83,-46.6,168.33,39.0,3.0
77,San Cristobal,40,VE,1593447549,40,7.77,-72.22,89.6,24.16
78,Palmer,75,US,1593447313,88,42.16,-72.33,77.0,5.82
79,Bengkulu,51,ID,1593447501,90,-3.8,102.27,78.13,6.87
80,Bundaberg,90,AU,1593447554,82,-24.85,152.35,62.01,8.05
81,Hermanus,96,ZA,1593447556,93,-34.42,19.23,57.0,6.76
82,Auki,98,SB,1593447557,84,-8.77,160.7,77.43,3.83
83,Pascagoula,20,US,1593447558,63,30.37,-88.56,91.4,4.7
84,Esperance,0,AU,1593447560,81,-33.87,121.9,50.0,17.22
85,Pimenta Bueno,12,BR,1593447561,44,-11.67,-61.19,90.88,2.8
86,Manakara,0,MG,1593447562,91,-22.13,48.02,69.85,6.91
87,Sitka,90,US,1593447564,93,57.05,-135.33,51.8,5.21
88,Busselton,71,AU,1593447565,56,-33.65,115.33,57.0,15.23
89,Berdigestyakh,37,RU,1593447566,58,62.1,126.7,65.64,3.53
90,Wisconsin Rapids,75,US,1593447567,88,44.38,-89.82,68.0,6.93
91,New Norfolk,0,AU,1593447569,92,-42.78,147.06,43.0,1.7
92,Arman',15,RU,1593447570,89,59.7,150.17,49.46,3.11
93,Tabou,73,CI,1593447571,78,4.42,-7.35,77.9,12.97
94,Jamestown,20,US,1593447394,53,42.1,-79.24,79.0,4.7
95,Nong Chik,100,TH,1593447573,84,6.84,101.18,79.32,2.28
96,Vao,57,NC,1593447575,61,-22.67,167.48,68.23,14.36
97,Touros,75,BR,1593447576,78,-5.2,-35.46,80.6,12.75
98,Chui,100,UY,1593447577,70,-33.7,-53.46,55.6,13.49
99,Longyearbyen,75,SJ,1593447579,75,78.22,15.64,41.0,10.29
100,Mvuma,0,ZW,1593447580,38,-19.28,30.53,59.16,7.76
101,Unity,89,CA,1593447581,77,52.45,-109.17,61.21,8.68
102,Riachão das Neves,0,BR,1593447582,26,-11.75,-44.91,85.1,8.12
103,Asău,72,RO,1593447583,88,46.43,26.4,75.2,4.7
104,Killarney,90,IE,1593447304,76,52.05,-9.52,55.4,8.05
105,Cap-aux-Meules,90,CA,1593447586,93,47.38,-61.86,57.2,18.34
106,Djebeniana,0,TN,1593447587,58,35.03,10.91,84.2,13.87
107,Richards Bay,17,ZA,1593447589,71,-28.78,32.04,64.35,4.09
108,Bo Phloi,94,TH,1593447590,72,14.32,99.52,79.7,6.38
109,Enköping,28,SE,1593447591,40,59.64,17.08,73.4,10.29
110,Smithers,90,CA,1593447593,81,54.78,-127.17,53.6,2.24
111,Zunyi,100,CN,1593447594,88,27.69,106.91,74.07,0.96
112,Dingle,100,PH,1593447595,83,11.0,122.67,78.15,2.44
113,Nikolskoye,86,RU,1593447596,40,59.7,30.79,73.4,4.47
114,Thompson,90,CA,1593447590,100,55.74,-97.86,51.8,8.05
115,Benalla,40,AU,1593447599,100,-36.55,145.98,45.0,4.7
116,Tiksi,45,RU,1593447600,62,71.69,128.87,44.13,8.03
117,Bocaiúva,40,BR,1593447601,41,-17.11,-43.81,77.0,14.99
118,Khatanga,26,RU,1593447603,32,71.97,102.5,82.83,14.47
119,Smirnykh,80,RU,1593447604,86,49.75,142.83,47.95,1.03
120,Aklavik,20,CA,1593447605,50,68.22,-135.01,57.2,3.36
121,Boddam,20,GB,1593447606,63,57.47,-1.78,63.0,11.41
122,Freeport,75,US,1593447608,57,40.66,-73.58,82.99,11.41
123,Bilma,0,NE,1593447609,7,18.69,12.92,105.6,9.24
124,Ko Samui,20,TH,1593447605,79,9.54,99.94,84.2,5.48
125,Lebu,100,CL,1593447611,92,-37.62,-73.65,49.6,7.11
126,Ilulissat,90,GL,1593447613,86,69.22,-51.1,39.2,3.36
127,Kochevo,100,RU,1593447614,75,59.6,54.31,49.57,4.47
128,Amapá,8,BR,1593447615,84,1.0,-52.0,83.5,3.67
129,Buenos Aires,100,AR,1593447594,62,-34.61,-58.38,55.4,13.87
130,Yamada,100,JP,1593447618,86,39.47,141.95,63.0,3.44
131,Port Augusta,0,AU,1593447619,49,-32.5,137.77,48.2,9.17
132,São Filipe,0,CV,1593447620,64,14.9,-24.5,77.94,10.87
133,Iracoubo,96,GF,1593447621,78,5.48,-53.2,82.62,8.81
134,Saint Anthony,75,US,1593447623,88,45.02,-93.22,69.8,12.75
135,Mount Gambier,50,AU,1593447624,81,-37.83,140.77,46.4,12.75
136,Wewak,100,PG,1593447625,79,-3.55,143.63,79.66,6.91
137,Caravelas,53,BR,1593447626,73,-17.71,-39.25,76.53,13.67
138,Dalvik,75,IS,1593447627,76,65.97,-18.53,50.0,17.22
139,Melita,84,CA,1593447629,92,49.27,-101.0,71.01,1.01
140,Avarua,72,CK,1593447630,88,-21.21,-159.78,73.4,14.99
141,Bambous Virieux,75,MU,1593447631,88,-20.34,57.76,69.8,2.24
142,Puri,75,IN,1593447632,94,19.8,85.85,80.6,4.7
143,Chokurdakh,90,RU,1593447633,58,70.63,147.92,45.39,8.88
144,Merauke,99,ID,1593447635,83,-8.47,140.33,77.32,15.03
145,Madera,0,US,1593447636,44,37.17,-119.83,64.99,4.74
146,Port Elizabeth,58,ZA,1593447637,77,-33.92,25.57,62.6,20.8
