,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Mataura,0,NZ,1589654324,86,-46.19,168.86,38.3,2.37
2,Punta Arenas,90,CL,1589654909,93,-53.15,-70.92,41.0,6.93
4,Hermanus,0,ZA,1589654797,87,-34.42,19.23,50.0,1.83
5,Chokurdakh,0,RU,1589654912,97,70.63,147.92,20.48,6.46
6,Ushuaia,40,AR,1589654885,87,-54.8,-68.3,44.6,5.82
10,Hithadhoo,76,MV,1589654066,76,-0.6,73.08,84.7,19.13
13,Sambava,1,MG,1589654344,86,-14.27,50.17,76.19,8.86
14,Cayenne,75,GF,1589654924,74,4.93,-52.33,84.2,12.75
15,Arraial do Cabo,40,BR,1589654925,69,-22.97,-42.03,77.0,11.41
16,Santa Rosa,20,PH,1589654926,94,14.31,121.11,81.0,2.24
17,Kabinda,10,CD,1589654927,85,-6.13,24.48,72.05,4.14
18,Ust-Kuyga,96,RU,1589654928,97,70.02,135.6,27.36,2.84
19,Barcelos,20,PT,1589654930,64,41.54,-8.62,72.0,6.93
20,Huarmey,16,PE,1589654350,65,-10.07,-78.15,73.06,10.09
21,Rikitea,100,PF,1589654349,83,-23.12,-134.97,77.29,13.71
22,Bredasdorp,0,ZA,1589654933,76,-34.53,20.04,51.8,2.24
23,Kirakira,0,SB,1589654562,82,-10.45,161.92,79.43,6.15
24,East London,100,ZA,1589654359,64,-33.02,27.91,62.33,6.11
25,Port Alfred,100,ZA,1589654338,83,-33.59,26.89,55.99,3.0
26,Dingle,83,PH,1589654938,85,11.0,122.67,79.5,2.42
27,Qaanaaq,0,GL,1589654388,93,77.48,-69.36,31.93,1.16
30,Bandundu Province,2,CD,1589654943,68,-3.32,17.37,79.09,2.39
31,Borogontsy,0,RU,1589654944,83,62.67,131.17,41.43,4.32
32,Tuktoyaktuk,90,CA,1589654946,79,69.45,-133.04,24.8,9.17
33,Bluff,41,NZ,1589654947,90,-46.6,168.33,46.69,9.08
35,Bilibino,0,RU,1589654533,88,68.05,166.44,28.42,7.05
36,Saint-Philippe,75,RE,1589654950,83,-21.36,55.77,73.4,4.7
37,Daru,100,PG,1589654768,83,-9.08,143.21,78.8,17.2
38,Vaini,40,TO,1589654953,93,-21.2,-175.2,66.2,3.36
40,Alyangula,54,AU,1589654955,78,-13.85,136.42,77.0,1.12
41,Natal,75,BR,1589654957,100,-5.79,-35.21,75.2,4.7
42,Yen Bai,86,VN,1589654958,91,21.7,104.87,78.8,2.46
43,Pangnirtung,20,CA,1589654959,69,66.15,-65.71,35.6,3.36
44,Hobart,90,AU,1589654703,76,-42.88,147.33,51.01,13.87
45,Praia da Vitória,75,PT,1589654962,77,38.73,-27.07,68.0,13.71
48,Mount Gambier,0,AU,1589654967,100,-37.83,140.77,37.4,8.05
51,Hamilton,75,US,1589654555,73,39.18,-84.53,79.0,6.55
53,Nikolskoye,75,RU,1589654973,75,59.7,30.79,42.8,6.71
55,Lębork,40,PL,1589654976,61,54.54,17.75,54.0,12.75
56,Fortuna,1,US,1589654732,82,40.6,-124.16,60.01,17.22
58,Aberystwyth,33,GB,1589654980,71,52.42,-4.08,54.0,4.0
59,Fare,75,PF,1589654981,77,-16.7,-151.02,82.38,9.37
60,São João da Barra,100,BR,1589654568,78,-21.64,-41.05,75.2,6.93
61,Poum,97,NC,1589654983,75,-20.23,164.02,74.07,9.64
62,Sinnamary,50,GF,1589654985,84,5.38,-52.95,80.53,14.61
63,Lerwick,97,GB,1589654986,72,60.15,-1.15,44.6,23.04
64,Lüderitz,0,NA,1589654988,63,-26.65,15.16,64.4,4.7
65,Provideniya,74,RU,1589654551,62,64.38,-173.3,41.77,9.91
66,Cape Town,0,ZA,1589654327,67,-33.93,18.42,57.2,4.7
67,Huizhou,40,CN,1589654991,89,23.08,114.4,76.84,2.24
68,Mahébourg,20,MU,1589654536,88,-20.41,57.7,71.6,5.39
69,Barrow,90,US,1589654256,79,71.29,-156.79,24.8,10.29
70,Hay River,75,CA,1589654746,69,60.82,-115.8,37.4,9.17
71,Tommot,19,RU,1589654996,81,58.96,126.29,39.18,2.15
72,Port Pirie,0,AU,1589654997,86,-33.18,138.02,39.2,4.7
75,Irsha,100,RU,1589655001,72,55.93,94.79,53.24,4.34
76,Pestovo,99,RU,1589655002,93,58.59,35.8,42.58,6.71
77,Butaritari,0,KI,1589655004,75,3.07,172.79,82.98,9.33
78,Monroe,40,US,1589654891,62,43.15,-77.68,62.01,12.75
79,Yellowknife,75,CA,1589655006,68,62.46,-114.35,32.0,11.41
81,Pisco,75,PE,1589655008,82,-13.7,-76.22,68.0,8.05
82,Zhigansk,63,RU,1589655010,87,66.77,123.37,37.22,9.6
83,Meulaboh,100,ID,1589655011,96,4.14,96.13,76.87,7.16
84,Dunedin,0,NZ,1589655012,88,-45.87,170.5,44.01,4.0
85,Avarua,40,CK,1589655013,69,-21.21,-159.78,78.8,11.41
86,Saskylakh,100,RU,1589655014,96,71.92,114.08,32.76,3.74
88,Goderich,99,CA,1589655017,76,43.75,-81.72,55.99,8.68
89,Tasiilaq,20,GL,1589655018,64,65.61,-37.64,39.2,12.75
91,Torbay,75,CA,1589655020,80,47.67,-52.73,46.99,8.05
92,Saint-Augustin,86,CA,1589655022,73,51.23,-58.65,39.76,5.21
93,Sal Rei,75,CV,1589655023,64,16.18,-22.92,75.2,20.8
95,Ostrów Wielkopolski,4,PL,1589655026,78,51.66,17.81,47.73,5.19
96,Ambon City,5,ID,1589655027,84,-3.7,128.18,81.88,10.27
97,Coquimbo,75,CL,1589655028,87,-29.95,-71.34,57.2,11.41
98,North Platte,75,US,1589655030,63,41.12,-100.77,66.2,12.75
